iter	Accuracy	MultiClass
0	0.6443131462	1.053063002
1	0.6670605613	1.015226839
2	0.6626292467	0.9826668884
3	0.6762186115	0.9553635754
4	0.6685376662	0.9341774667
5	0.6729689808	0.9138870146
6	0.6791728213	0.8985672054
7	0.6759231905	0.8843683206
8	0.6762186115	0.8722903451
9	0.6768094535	0.8602067398
10	0.6756277696	0.8509684831
11	0.6788774003	0.840479514
12	0.6868537666	0.8294164286
13	0.6868537666	0.8211645209
14	0.6880354505	0.815124695
15	0.6886262925	0.8081529717
16	0.6898079764	0.8018979535
17	0.6918759232	0.7966199587
18	0.6927621861	0.7916728267
19	0.694534712	0.7865729703
20	0.6974889217	0.7814573408
21	0.7016248154	0.777107239
22	0.7013293944	0.772783755
23	0.7025110783	0.769018257
24	0.705465288	0.7639047729
25	0.705760709	0.760484558
26	0.7066469719	0.7571823024
27	0.7072378139	0.7545831061
28	0.7078286558	0.7518900561
29	0.7101920236	0.7499236261
30	0.7134416544	0.7466862121
31	0.7131462334	0.7435046945
32	0.7131462334	0.7416908919
33	0.7140324963	0.7386858282
34	0.7149187592	0.7356178376
35	0.7158050222	0.7326360548
36	0.717282127	0.7304380016
37	0.717872969	0.7281121491
38	0.7190546529	0.7265768291
39	0.7190546529	0.7235339577
40	0.7196454948	0.7206523608
41	0.7205317578	0.7177756531
42	0.7208271787	0.7152148148
43	0.7220088626	0.7134392816
44	0.7223042836	0.711263204
45	0.7223042836	0.7093261768
46	0.7225997046	0.7075880461
47	0.7228951256	0.705493211
48	0.7231905465	0.7033391541
49	0.7249630724	0.7019062879
50	0.7258493353	0.7005518461
51	0.7255539143	0.6992182991
52	0.7261447563	0.6971019241
53	0.7279172821	0.6952907209
54	0.7285081241	0.6934099812
55	0.729689808	0.6920823345
56	0.7317577548	0.6903820264
57	0.7326440177	0.6893105147
58	0.7326440177	0.6879330174
59	0.7347119645	0.686374712
60	0.7364844904	0.6848425747
61	0.7361890694	0.6828816009
62	0.7379615953	0.6804542821
63	0.7385524372	0.6785607469
64	0.7391432792	0.6771145718
65	0.7391432792	0.6757128763
66	0.7388478582	0.6740607249
67	0.7391432792	0.6728525976
68	0.7403249631	0.6716400059
69	0.740620384	0.6707474517
70	0.7423929099	0.6695278189
71	0.7441654357	0.6679964611
72	0.7447562777	0.6667922265
73	0.7441654357	0.6655126307
74	0.7450516987	0.6638114675
75	0.7459379616	0.6622114341
76	0.7468242245	0.6613615798
77	0.7468242245	0.6600215542
78	0.7480059084	0.6579477118
79	0.7488921713	0.6562967884
80	0.7488921713	0.6556928454
81	0.7488921713	0.6543243542
82	0.7491875923	0.6529153271
83	0.7494830133	0.6512938075
84	0.7506646972	0.6495138816
85	0.7506646972	0.6484915977
86	0.7509601182	0.646843029
87	0.7536189069	0.6449084879
88	0.7548005908	0.6436829515
89	0.7556868538	0.6417586857
90	0.7565731167	0.6404698029
91	0.7571639586	0.6391309681
92	0.7583456425	0.6379004421
93	0.7589364845	0.6367255288
94	0.7604135894	0.6357011312
95	0.7601181684	0.6337433619
96	0.7601181684	0.6326041832
97	0.7598227474	0.6316224735
98	0.7604135894	0.6298258064
99	0.7604135894	0.6283320098
100	0.7607090103	0.6277739065
101	0.7621861152	0.6264496394
102	0.7618906942	0.625144005
103	0.7621861152	0.623126706
104	0.7624815362	0.622187761
105	0.7633677991	0.6209005399
106	0.7636632201	0.6195439647
107	0.7639586411	0.6184371339
108	0.764549483	0.6171173705
109	0.765140325	0.6159835527
110	0.765140325	0.6147629325
111	0.7654357459	0.6138318183
112	0.7675036928	0.6128910633
113	0.7680945347	0.6116781606
114	0.7672082718	0.6104214825
115	0.7680945347	0.6093149475
116	0.7689807976	0.6083309369
117	0.7686853767	0.6076364148
118	0.7686853767	0.6070491059
119	0.7689807976	0.6054421035
120	0.7686853767	0.6046444511
121	0.7695716396	0.6036359256
122	0.7710487445	0.6017133303
123	0.7722304284	0.6007918012
124	0.7725258493	0.6000172425
125	0.7728212703	0.5990807093
126	0.7737075332	0.5983935443
127	0.7740029542	0.5976358051
128	0.7748892171	0.5966709502
129	0.7757754801	0.5958809589
130	0.776957164	0.5952429867
131	0.7775480059	0.5941185612
132	0.7787296898	0.5934336392
133	0.7775480059	0.5920561195
134	0.7775480059	0.5916784365
135	0.7787296898	0.5905330574
136	0.7790251108	0.5900536389
137	0.7793205318	0.5893321969
138	0.7799113737	0.5885455605
139	0.7807976366	0.5869752358
140	0.7807976366	0.5864573926
141	0.7807976366	0.586013714
142	0.7816838996	0.5848209613
143	0.7822747415	0.5835127097
144	0.7825701625	0.5827295758
145	0.7825701625	0.5823415862
146	0.7831610044	0.5818910011
147	0.7831610044	0.580913926
148	0.7828655835	0.5804744888
149	0.7831610044	0.5799153154
150	0.7831610044	0.5792068506
151	0.7843426883	0.5778489105
152	0.7849335303	0.5771027604
153	0.7849335303	0.5761339149
154	0.7855243722	0.5754316808
155	0.7855243722	0.5748775665
156	0.7864106352	0.5741055063
157	0.7867060561	0.5735742628
158	0.7870014771	0.5729950428
159	0.78788774	0.5724215744
160	0.788478582	0.5719583606
161	0.7890694239	0.5713038907
162	0.7893648449	0.570712365
163	0.7896602659	0.5699769761
164	0.7893648449	0.5691694237
165	0.7896602659	0.5686512719
166	0.7896602659	0.568357359
167	0.7905465288	0.5677389199
168	0.7896602659	0.5671353314
169	0.7893648449	0.5660359919
170	0.7896602659	0.5656525371
171	0.7893648449	0.5651235039
172	0.7902511078	0.5643007092
173	0.7911373708	0.563966778
174	0.7926144756	0.5634434666
175	0.7932053176	0.5627830745
176	0.7932053176	0.5621767607
177	0.7940915805	0.5616346427
178	0.7935007386	0.561012155
179	0.7929098966	0.5605354193
180	0.7935007386	0.5597584676
181	0.7935007386	0.5592157677
182	0.7937961595	0.5582444059
183	0.7946824225	0.5576978546
184	0.7935007386	0.5567521961
185	0.7932053176	0.5563198665
186	0.7937961595	0.5556862931
187	0.7946824225	0.5552361931
188	0.7946824225	0.5550160952
189	0.7949778434	0.5545765342
190	0.7949778434	0.5537105355
191	0.7952732644	0.5531112723
192	0.7964549483	0.552762188
193	0.7964549483	0.5524199096
194	0.7967503693	0.552073443
195	0.7970457903	0.5517829352
196	0.7973412112	0.5512775435
197	0.7982274742	0.5505207103
198	0.7985228951	0.5500878704
199	0.7988183161	0.549798421
200	0.7988183161	0.5494008144
201	0.7994091581	0.5488279446
202	0.7994091581	0.5484585629
203	0.799704579	0.5480993641
204	0.7994091581	0.5475845069
205	0.7994091581	0.547359853
206	0.799704579	0.5466856924
207	0.799704579	0.5460250703
208	0.8011816839	0.5451742504
209	0.8008862629	0.5448278201
210	0.8014771049	0.5443679843
211	0.8023633678	0.5440357492
212	0.8020679468	0.543479886
213	0.8020679468	0.5432024064
214	0.8020679468	0.5428044553
215	0.8023633678	0.5424390119
216	0.8017725258	0.5413837628
217	0.8020679468	0.540856426
218	0.8020679468	0.5403744559
219	0.8023633678	0.5400903591
220	0.8020679468	0.5393151519
221	0.8020679468	0.5390438268
222	0.8020679468	0.5387743306
223	0.8023633678	0.538200925
224	0.8026587888	0.537118147
225	0.8032496307	0.536480339
226	0.8023633678	0.5357845263
227	0.8029542097	0.5352654054
228	0.8023633678	0.5349308383
229	0.8032496307	0.5343726214
230	0.8038404727	0.5337613294
231	0.8050221566	0.5332275645
232	0.8059084195	0.5323753531
233	0.8059084195	0.5319855985
234	0.8056129985	0.5308960011
235	0.8067946824	0.5302243674
236	0.8064992614	0.52995498
237	0.8067946824	0.5297036966
238	0.8067946824	0.5292398932
239	0.8070901034	0.5290304016
240	0.8073855244	0.5285453934
241	0.8076809453	0.5281414404
242	0.8085672083	0.5275515238
243	0.8085672083	0.5271639724
244	0.8097488922	0.5262882478
245	0.8097488922	0.5258971953
246	0.8103397341	0.5255693221
247	0.8106351551	0.5252358118
248	0.8109305761	0.5250177845
249	0.811225997	0.5247150164
250	0.8109305761	0.5236623077
251	0.8109305761	0.5233132347
252	0.811816839	0.5227960795
253	0.8124076809	0.5225031577
254	0.8127031019	0.5221655564
255	0.8129985229	0.52178158
256	0.8132939439	0.5214429937
257	0.8144756278	0.5209194193
258	0.8138847858	0.5204168852
259	0.8129985229	0.5199906215
260	0.8124076809	0.5196176751
261	0.8124076809	0.5193845344
262	0.8124076809	0.5189350453
263	0.8124076809	0.518694499
264	0.8124076809	0.5183686174
265	0.8127031019	0.5179354771
266	0.8127031019	0.5177499555
267	0.8135893648	0.517389025
268	0.8138847858	0.5170217192
269	0.8132939439	0.5164734934
270	0.8132939439	0.5162657146
271	0.8132939439	0.5154576278
272	0.8138847858	0.5149271327
273	0.8141802068	0.5146715681
