iter	Passed	Remaining
0	256	255911
1	347	173274
2	441	146763
3	544	135688
4	639	127329
5	733	121590
6	822	116693
7	914	113370
8	1005	110766
9	1099	108836
10	1190	107049
11	1285	105854
12	1384	105093
13	1483	104506
14	1581	103852
15	1675	103070
16	1775	102681
17	1870	102027
18	1966	101510
19	2066	101254
20	2161	100751
21	2256	100301
22	2351	99904
23	2447	99524
24	2543	99205
25	2639	98872
26	2739	98726
27	2836	98483
28	2934	98248
29	3026	97865
30	3123	97634
31	3215	97272
32	3309	96970
33	3412	96950
34	3507	96708
35	3599	96373
36	3691	96067
37	3784	95816
38	3877	95544
39	3974	95387
40	4073	95283
41	4169	95098
42	4267	94970
43	4359	94729
44	4455	94550
45	4549	94349
46	4644	94179
47	4738	93971
48	4830	93745
49	4930	93677
50	5131	95486
51	5256	95834
52	5355	95690
53	5458	95617
54	5557	95482
55	5659	95399
56	5773	95514
57	5895	95757
58	6014	95926
59	6130	96042
60	6237	96015
61	6366	96312
62	6492	96565
63	6620	96828
64	6741	96970
65	6857	97045
66	6990	97348
67	7100	97324
68	7215	97358
69	7319	97240
70	7417	97052
71	7520	96936
72	7640	97024
73	7744	96917
74	7854	96867
75	7964	96831
76	8064	96668
77	8195	96875
78	8318	96975
79	8432	96968
80	8542	96916
81	8649	96830
82	8771	96904
83	8886	96900
84	9003	96917
85	9138	97121
86	9259	97175
87	9383	97245
88	9525	97498
89	9639	97466
90	9769	97589
91	9882	97532
92	9990	97437
93	10099	97344
94	10203	97201
95	10308	97071
96	10411	96918
97	10524	96872
98	10634	96789
99	10739	96657
100	10843	96517
101	10953	96436
102	11060	96321
103	11174	96270
104	11272	96088
105	11390	96069
106	11495	95937
107	11599	95804
108	11724	95841
109	11837	95773
110	11941	95643
111	12051	95548
112	12150	95372
113	12255	95245
114	12358	95109
115	12455	94915
116	12554	94750
117	12663	94652
118	12778	94603
119	12873	94405
120	12965	94186
121	13063	94015
122	13160	93837
123	13257	93656
124	13347	93434
125	13441	93233
126	13537	93058
127	13628	92846
128	13748	92829
129	13887	92940
130	13976	92711
131	14064	92482
132	14156	92280
133	14247	92076
134	14336	91856
135	14428	91661
136	14512	91417
137	14602	91210
138	14689	90992
139	14785	90822
140	14879	90651
141	14983	90535
142	15069	90309
143	15152	90073
144	15237	89849
145	15333	89693
146	15428	89525
147	15524	89370
148	15608	89144
149	15693	88931
150	15780	88725
151	15866	88520
152	15951	88305
153	16034	88084
154	16132	87948
155	16231	87816
156	16331	87690
157	16417	87489
158	16506	87306
159	16593	87118
160	16684	86944
161	16789	86851
162	16884	86702
163	16971	86514
164	17058	86327
165	17151	86172
166	17254	86064
167	17357	85958
168	17447	85790
169	17538	85627
170	17630	85470
171	17717	85293
172	17806	85120
173	17890	84928
174	17977	84752
175	18065	84579
176	18149	84387
177	18235	84209
178	18326	84053
179	18412	83877
180	18516	83784
181	18625	83710
182	18726	83603
183	18817	83449
184	18903	83279
